"position","Points:0","Points:1","Points:2"
0,5.3146,22.83,-4.6937
0,5.2479,22.814,-4.7267
0,5.356,23.004,-4.6753
0,5.3662,22.883,-4.6379
0,5.2449,22.977,-4.7304
0,5.2875,22.939,-4.6519
0,5.2437,22.875,-4.6595
0,5.201,22.913,-4.738
0,5.3223,22.819,-4.6455
0,5.2112,22.793,-4.7006
0,5.453,22.818,-4.9915
0,5.4709,22.81,-5.0234
0,5.4882,22.791,-5.0652
0,5.4991,22.765,-5.1063
0,5.4992,22.807,-5.0633
0,5.532,22.813,-5.1006
0,5.1942,22.882,-4.7862
0,5.1775,22.897,-4.7965
0,5.208,22.901,-4.7807
0,5.178,22.863,-4.7874
0,5.2085,22.868,-4.7717
0,5.1999,22.894,-4.8008
0,5.1869,22.877,-4.8037
0,5.2003,22.865,-4.7929
0,5.2133,22.881,-4.79
0,5.1665,22.919,-4.7438
0,5.1449,22.891,-4.7487
0,5.1672,22.871,-4.7307
0,5.1889,22.898,-4.7259
0,5.1513,22.923,-4.8298
0,5.2428,22.937,-4.7825
0,5.1527,22.823,-4.8027
0,5.2442,22.837,-4.7553
0,5.2185,22.914,-4.8426
0,5.1795,22.864,-4.8514
0,5.2197,22.827,-4.8191
0,5.2587,22.876,-4.8104
0,5.1659,22.967,-4.7569
0,5.1009,22.885,-4.7714
0,5.1679,22.822,-4.7177
0,5.2329,22.905,-4.7031
0,5.1251,22.95,-4.8632
0,5.2775,22.973,-4.7843
0,5.1274,22.783,-4.8179
0,5.2798,22.806,-4.739
0,5.2371,22.934,-4.8845
0,5.1721,22.851,-4.8991
0,5.2391,22.789,-4.8453
0,5.3041,22.871,-4.8308
0,5.1652,23.015,-4.7699
0,5.0569,22.878,-4.7942
0,5.1685,22.774,-4.7046
0,5.2768,22.912,-4.6803
0,5.1787,22.889,-4.7585
0,5.155,22.9,-4.716
0,5.1312,22.912,-4.6734
0,5.1083,22.932,-4.6351
0,5.1086,22.913,-4.63
0,5.0862,22.961,-4.601
0,5.0869,22.904,-4.5857
0,5.0666,22.997,-4.5738
0,5.0826,22.982,-4.561
0,5.051,22.977,-4.5773
0,5.0632,22.981,-4.5627
0,5.0643,22.906,-4.5423
0,5.0521,22.902,-4.5569
0,5.0836,22.906,-4.5406
0,5.0681,22.887,-4.5441
0,5.0496,23.039,-4.5536
0,5.0976,22.994,-4.515
0,5.0029,22.98,-4.564
0,5.0395,22.992,-4.5201
0,5.0405,22.917,-4.4998
0,5.004,22.905,-4.5436
0,5.0986,22.919,-4.4946
0,5.052,22.86,-4.5051
0,5.0325,23.081,-4.5333
0,5.1126,23.007,-4.469
0,4.9548,22.983,-4.5507
0,5.0157,23.003,-4.4776
0,5.0168,22.928,-4.4572
0,4.9559,22.908,-4.5303
0,5.1137,22.932,-4.4486
0,5.036,22.833,-4.4661
